TransNo,Tr_Type,Payment_Receipt,EntryDate,Vs_Dt,SrNo,AccCode,Amount,DRCR,PartyCode,RecoDt,ShareEntered,EntryNo
BB2201-000083       ,6,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1840,493834.00,DR,000267,NULL,NULL,BB2201-000083       
JV2201-000026       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1512,400000.00,DR,000043,NULL,NULL,NULL
JV2201-000026       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,2,1650,675.00,CR,000165,NULL,NULL,NULL
JV2201-000026       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,3,1512,236000.00,CR,000043,NULL,NULL,NULL
JV2201-000026       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,4,1636,3500.00,CR,000151,NULL,NULL,NULL
JV2201-000026       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,5,1840,159825.00,CR,000267,NULL,NULL,NULL
BB2201-000084       ,6,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,0,1490,159825.00,CR,000021,NULL,NULL,BB2201-000084       
BB2201-000084       ,6,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1840,159825.00,DR,000267,NULL,NULL,BB2201-000084       
BB2201-000085       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1485,47500.00,DR,000016,NULL,NULL,BB2201-000085       
BB2201-000085       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1517,47500.00,CR,000048,NULL,NULL,BB2201-000085       
CB2201-000030       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1473,3800.00,DR,000004,NULL,NULL,NULL
BB2201-003034       ,6,NULL,2021-05-20 00:00:00,2021-04-19 00:00:00,2,1601,351799.00,DR,000116,NULL,NULL,BB2201-003034       
BB2201-003034       ,6,NULL,2021-05-20 00:00:00,2021-04-19 00:00:00,3,1721,5000.00,DR,000236,NULL,NULL,BB2201-003034       
CB2201-000022       ,3,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,0,1475,20000.00,DR,000006,NULL,NULL,NULL
CB2201-000022       ,3,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1512,20000.00,CR,000043,NULL,NULL,NULL
BB2201-000060       ,6,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,0,1490,494950.00,CR,000021,NULL,NULL,BB2201-000060       
BB2201-000060       ,6,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1619,494950.00,DR,000134,NULL,NULL,BB2201-000060       
JV2201-000007       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,2,1667,329534.00,DR,000182,NULL,NULL,NULL
JV2201-000007       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1595,329534.00,CR,000110,NULL,NULL,NULL
BB2201-000068       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1477,100000.00,DR,000008,NULL,NULL,BB2201-000068       
BB2201-000068       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1738,100000.00,CR,000253,NULL,NULL,BB2201-000068       
BB2201-000070       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1477,20000.00,DR,000008,NULL,NULL,BB2201-000070       
BB2201-000070       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1738,20000.00,CR,000253,NULL,NULL,BB2201-000070       
JV2201-000021       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1512,500000.00,DR,000043,NULL,NULL,NULL
JV2201-000021       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,2,1650,675.00,CR,000165,NULL,NULL,NULL
JV2201-000021       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,3,1584,12500.00,CR,000099,NULL,NULL,NULL
JV2201-000021       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,4,1601,10560.00,CR,000116,NULL,NULL,NULL
JV2201-000021       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,5,1636,4375.00,CR,000151,NULL,NULL,NULL
JV2201-000021       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,6,1840,471890.00,CR,000267,NULL,NULL,NULL
JV2201-000022       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1512,600000.00,DR,000043,NULL,NULL,NULL
JV2201-000022       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,2,1650,675.00,CR,000165,NULL,NULL,NULL
JV2201-000022       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,3,1584,2300.00,CR,000099,NULL,NULL,NULL
JV2201-000022       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,4,1636,5250.00,CR,000151,NULL,NULL,NULL
JV2201-000022       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,5,1840,591775.00,CR,000267,NULL,NULL,NULL
JV2201-000023       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1512,600000.00,DR,000043,NULL,NULL,NULL
JV2201-000023       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,2,1650,675.00,CR,000165,NULL,NULL,NULL
JV2201-000023       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,3,1584,2600.00,CR,000099,NULL,NULL,NULL
JV2201-000023       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,4,1512,68800.00,CR,000043,NULL,NULL,NULL
JV2201-000023       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,5,1636,5250.00,CR,000151,NULL,NULL,NULL
JV2201-000023       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,6,1840,522675.00,CR,000267,NULL,NULL,NULL
JV2201-000024       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1512,350000.00,DR,000043,NULL,NULL,NULL
JV2201-000024       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,2,1650,675.00,CR,000165,NULL,NULL,NULL
JV2201-000024       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,3,1636,3062.00,CR,000151,NULL,NULL,NULL
JV2201-000024       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,4,1840,346263.00,CR,000267,NULL,NULL,NULL
BB2201-000087       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1488,6256.00,DR,000019,NULL,NULL,BB2201-000087       
BB2201-000087       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1920,6256.00,CR,000345,NULL,NULL,BB2201-000087       
BB2201-000088       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1488,2874.00,DR,000019,NULL,NULL,BB2201-000088       
BB2201-000088       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1920,2874.00,CR,000345,NULL,NULL,BB2201-000088       
JV2201-000027       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1512,960000.00,DR,000043,NULL,NULL,NULL
JV2201-000027       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,2,1650,675.00,CR,000165,NULL,NULL,NULL
JV2201-000027       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,3,1512,490800.00,CR,000043,NULL,NULL,NULL
JV2201-000027       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,4,1636,8400.00,CR,000151,NULL,NULL,NULL
