TransNo,Tr_Type,Payment_Receipt,EntryDate,Vs_Dt,SrNo,AccCode,Amount,DRCR,PartyCode,RecoDt,ShareEntered,EntryNo
JV2201-000039       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,3,1840,69495.00,CR,000267,NULL,NULL,NULL
JV2201-000040       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1479,300000.00,DR,000010,NULL,NULL,NULL
JV2201-000040       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,2,1838,2163.00,CR,000265,NULL,NULL,NULL
JV2201-000040       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,3,1840,297837.00,CR,000267,NULL,NULL,NULL
BB2201-000111       ,6,NULL,2021-04-05 00:00:00,2021-04-06 00:00:00,0,1488,6600.00,CR,000019,NULL,NULL,BB2201-000111       
BB2201-000111       ,6,NULL,2021-04-05 00:00:00,2021-04-06 00:00:00,1,1717,6600.00,DR,000232,NULL,NULL,BB2201-000111       
BB2201-000114       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1488,7814.00,DR,000019,NULL,NULL,BB2201-000114       
BB2201-000114       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1920,7814.00,CR,000345,NULL,NULL,BB2201-000114       
CB2201-000042       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1475,120.00,DR,000006,NULL,NULL,NULL
CB2201-000042       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1533,100.00,CR,000064,NULL,NULL,NULL
CB2201-000042       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,2,1698,10.00,CR,000213,NULL,NULL,NULL
CB2201-000042       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,3,1737,10.00,CR,000252,NULL,NULL,NULL
JV2201-000042       ,7,NULL,2021-04-05 00:00:00,2021-04-06 00:00:00,3,1679,130000.00,DR,000194,NULL,NULL,NULL
JV2201-000042       ,7,NULL,2021-04-05 00:00:00,2021-04-06 00:00:00,4,1545,29700.00,DR,000076,NULL,NULL,NULL
JV2201-000042       ,7,NULL,2021-04-05 00:00:00,2021-04-06 00:00:00,5,1544,29700.00,DR,000075,NULL,NULL,NULL
JV2201-000042       ,7,NULL,2021-04-05 00:00:00,2021-04-06 00:00:00,1,1840,182800.00,CR,000267,NULL,NULL,NULL
JV2201-000042       ,7,NULL,2021-04-05 00:00:00,2021-04-06 00:00:00,2,1717,6600.00,CR,000232,NULL,NULL,NULL
BB2201-000117       ,6,NULL,2021-04-05 00:00:00,2021-04-06 00:00:00,0,1488,9105.00,CR,000019,NULL,NULL,BB2201-000117       
BB2201-000117       ,6,NULL,2021-04-05 00:00:00,2021-04-06 00:00:00,1,1717,9105.00,DR,000232,NULL,NULL,BB2201-000117       
BB2201-000118       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,0,1856,1640.00,DR,000283,NULL,NULL,BB2201-000118       
BB2201-000118       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,1,1601,1640.00,CR,000116,NULL,NULL,BB2201-000118       
BB2201-000119       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,0,1856,1640.00,DR,000283,NULL,NULL,BB2201-000119       
BB2201-000119       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,1,1601,1640.00,CR,000116,NULL,NULL,BB2201-000119       
BB2201-000120       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,0,1856,1640.00,DR,000283,NULL,NULL,BB2201-000120       
BB2201-000120       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,1,1601,1640.00,CR,000116,NULL,NULL,BB2201-000120       
BB2201-000121       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,0,1856,1640.00,DR,000283,NULL,NULL,BB2201-000121       
BB2201-000121       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,1,1601,1640.00,CR,000116,NULL,NULL,BB2201-000121       
BB2201-000122       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,0,1856,1640.00,DR,000283,NULL,NULL,BB2201-000122       
BB2201-000122       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,1,1601,1640.00,CR,000116,NULL,NULL,BB2201-000122       
BB2201-000123       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,0,1856,1640.00,DR,000283,NULL,NULL,BB2201-000123       
BB2201-000123       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,1,1601,1640.00,CR,000116,NULL,NULL,BB2201-000123       
BB2201-000124       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,0,1856,1640.00,DR,000283,NULL,NULL,BB2201-000124       
BB2201-000124       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,1,1601,1640.00,CR,000116,NULL,NULL,BB2201-000124       
BB2201-000125       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,0,1856,3282.00,DR,000283,NULL,NULL,BB2201-000125       
BB2201-000125       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,1,1601,3282.00,CR,000116,NULL,NULL,BB2201-000125       
BB2201-000126       ,5,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,0,1856,1640.00,DR,000283,NULL,NULL,BB2201-000126       
BB2201-000126       ,5,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,1,1601,1640.00,CR,000116,NULL,NULL,BB2201-000126       
BB2201-000127       ,5,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,0,1856,1640.00,DR,000283,NULL,NULL,BB2201-000127       
BB2201-000127       ,5,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,1,1601,1640.00,CR,000116,NULL,NULL,BB2201-000127       
BB2201-000128       ,5,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,0,1856,1640.00,DR,000283,NULL,NULL,BB2201-000128       
BB2201-000128       ,5,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,1,1601,1640.00,CR,000116,NULL,NULL,BB2201-000128       
BB2201-000132       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,0,1488,3771.00,DR,000019,NULL,NULL,BB2201-000132       
BB2201-000132       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,1,1920,3771.00,CR,000345,NULL,NULL,BB2201-000132       
BB2201-000133       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,0,1488,5204.00,DR,000019,NULL,NULL,BB2201-000133       
BB2201-000133       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,1,1920,5204.00,CR,000345,NULL,NULL,BB2201-000133       
BB2201-000134       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,0,1485,443200.00,DR,000016,NULL,NULL,BB2201-000134       
BB2201-000134       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,1,1512,344000.00,CR,000043,NULL,NULL,BB2201-000134       
BB2201-000134       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,2,1517,97200.00,CR,000048,NULL,NULL,BB2201-000134       
BB2201-000134       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,3,1510,2000.00,CR,000041,NULL,NULL,BB2201-000134       
BB2201-000135       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,0,1485,179600.00,DR,000016,NULL,NULL,BB2201-000135       
BB2201-000135       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,1,1512,179600.00,CR,000043,NULL,NULL,BB2201-000135       
CB2201-000044       ,3,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,0,1473,15000.00,DR,000004,NULL,NULL,NULL
CB2201-000044       ,3,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,1,1512,15000.00,CR,000043,NULL,NULL,NULL
BB2201-000137       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,0,1485,192600.00,DR,000016,NULL,NULL,BB2201-000137       
BB2201-000137       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,1,1512,192600.00,CR,000043,NULL,NULL,BB2201-000137       
BB2201-000140       ,5,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,0,1477,5000.00,DR,000008,NULL,NULL,BB2201-000140       
BB2201-000140       ,5,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,1,1738,5000.00,CR,000253,NULL,NULL,BB2201-000140       
CB2201-000045       ,3,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,0,1473,120.00,DR,000004,NULL,NULL,NULL
CB2201-000045       ,3,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,1,1533,100.00,CR,000064,NULL,NULL,NULL
CB2201-000045       ,3,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,2,1698,10.00,CR,000213,NULL,NULL,NULL
CB2201-000045       ,3,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,3,1737,10.00,CR,000252,NULL,NULL,NULL
CE2201-000008       ,8,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,2,1485,240.00,DR,000016,NULL,NULL,NULL
CE2201-000008       ,8,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,1,1473,240.00,CR,000004,NULL,NULL,NULL
CB2201-000046       ,3,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,0,1839,120.00,DR,000266,NULL,NULL,NULL
CB2201-000046       ,3,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,1,1533,100.00,CR,000064,NULL,NULL,NULL
CB2201-000046       ,3,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,2,1698,10.00,CR,000213,NULL,NULL,NULL
CB2201-000046       ,3,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,3,1737,10.00,CR,000252,NULL,NULL,NULL
CB2201-000047       ,3,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,0,1839,120.00,DR,000266,NULL,NULL,NULL
BB2201-000091       ,6,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1477,10100.00,CR,000008,NULL,NULL,BB2201-000091       
BB2201-000091       ,6,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1663,10100.00,DR,000178,NULL,NULL,BB2201-000091       
BB2201-000092       ,6,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1477,38734.00,CR,000008,NULL,NULL,BB2201-000092       
BB2201-000092       ,6,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1889,38734.00,DR,000314,NULL,NULL,BB2201-000092       
BB2201-000093       ,5,NULL,2021-04-06 00:00:00,2021-04-05 00:00:00,0,1488,820687.00,DR,000019,NULL,NULL,BB2201-000093       
BB2201-000093       ,5,NULL,2021-04-06 00:00:00,2021-04-05 00:00:00,1,1512,655000.00,CR,000043,NULL,NULL,BB2201-000093       
BB2201-000093       ,5,NULL,2021-04-06 00:00:00,2021-04-05 00:00:00,2,1636,6004.00,CR,000151,NULL,NULL,BB2201-000093       
BB2201-000093       ,5,NULL,2021-04-06 00:00:00,2021-04-05 00:00:00,3,1517,158200.00,CR,000048,NULL,NULL,BB2201-000093       
BB2201-000093       ,5,NULL,2021-04-06 00:00:00,2021-04-05 00:00:00,4,1641,1483.00,CR,000156,NULL,NULL,BB2201-000093       
JV2201-000032       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1512,600000.00,DR,000043,NULL,NULL,NULL
JV2201-000032       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,2,1650,675.00,CR,000165,NULL,NULL,NULL
JV2201-000032       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,3,1584,400.00,CR,000099,NULL,NULL,NULL
JV2201-000032       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,4,1512,279600.00,CR,000043,NULL,NULL,NULL
JV2201-000032       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,5,1636,5250.00,CR,000151,NULL,NULL,NULL
JV2201-000032       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,6,1517,166400.00,CR,000048,NULL,NULL,NULL
JV2201-000032       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,7,1511,4000.00,CR,000042,NULL,NULL,NULL
JV2201-000032       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,8,1840,143675.00,CR,000267,NULL,NULL,NULL
BB2201-000097       ,6,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1490,143675.00,CR,000021,NULL,NULL,BB2201-000097       
BB2201-000097       ,6,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1840,143675.00,DR,000267,NULL,NULL,BB2201-000097       
BB2201-003183       ,6,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1490,138206.00,CR,000021,NULL,NULL,BB2201-003183       
BB2201-003183       ,6,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1619,138206.00,DR,000134,NULL,NULL,BB2201-003183       
BB2201-000099       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1477,100000.00,DR,000008,NULL,NULL,BB2201-000099       
BB2201-000099       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1739,100000.00,CR,000254,NULL,NULL,BB2201-000099       
CE2201-000006       ,8,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,2,1841,29600.00,DR,000268,NULL,NULL,NULL
CE2201-000006       ,8,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1839,29600.00,CR,000266,NULL,NULL,NULL
CB2201-000041       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1475,20000.00,DR,000006,NULL,NULL,NULL
CB2201-000041       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1512,20000.00,CR,000043,NULL,NULL,NULL
BB2201-000106       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1488,3368.00,DR,000019,NULL,NULL,BB2201-000106       
BB2201-000106       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1920,3368.00,CR,000345,NULL,NULL,BB2201-000106       
BB2201-000107       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1488,2798.00,DR,000019,NULL,NULL,BB2201-000107       
BB2201-000107       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1920,2798.00,CR,000345,NULL,NULL,BB2201-000107       
BB2201-000110       ,6,NULL,2021-04-05 00:00:00,2021-04-06 00:00:00,0,1488,182800.00,CR,000019,NULL,NULL,BB2201-000110       
BB2201-000110       ,6,NULL,2021-04-05 00:00:00,2021-04-06 00:00:00,1,1840,182800.00,DR,000267,NULL,NULL,BB2201-000110       
BB2201-000112       ,6,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1490,144379.00,CR,000021,NULL,NULL,BB2201-000112       
BB2201-000112       ,6,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1620,144379.00,DR,000135,NULL,NULL,BB2201-000112       
BB2201-000113       ,6,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1490,3634.00,CR,000021,NULL,NULL,BB2201-000113       
BB2201-000113       ,6,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1716,3634.00,DR,000231,NULL,NULL,BB2201-000113       
BB2201-000115       ,6,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1490,4820.00,CR,000021,NULL,NULL,BB2201-000115       
BB2201-000115       ,6,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1716,4820.00,DR,000231,NULL,NULL,BB2201-000115       
BB2201-001422       ,6,NULL,2021-04-26 00:00:00,2021-04-26 00:00:00,0,1490,172719.00,CR,000021,NULL,NULL,BB2201-001422       
BB2201-001422       ,6,NULL,2021-04-26 00:00:00,2021-04-26 00:00:00,1,1619,172719.00,DR,000134,NULL,NULL,BB2201-001422       
BB2201-003197       ,6,NULL,2021-05-18 00:00:00,2021-05-18 00:00:00,0,1488,25228.00,CR,000019,NULL,NULL,BB2201-003197       
BB2201-003197       ,6,NULL,2021-05-18 00:00:00,2021-05-18 00:00:00,1,1738,25000.00,DR,000253,NULL,NULL,BB2201-003197       
BB2201-003197       ,6,NULL,2021-05-18 00:00:00,2021-05-18 00:00:00,2,1871,228.00,DR,000297,NULL,NULL,BB2201-003197       
BB2201-000116       ,6,NULL,2021-04-05 00:00:00,2021-04-06 00:00:00,0,1488,1065285.00,CR,000019,NULL,NULL,BB2201-000116       
BB2201-000116       ,6,NULL,2021-04-05 00:00:00,2021-04-06 00:00:00,1,1840,1065285.00,DR,000267,NULL,NULL,BB2201-000116       
JV2201-000044       ,7,NULL,2021-04-05 00:00:00,2021-04-06 00:00:00,3,1679,910500.00,DR,000194,NULL,NULL,NULL
JV2201-000044       ,7,NULL,2021-04-05 00:00:00,2021-04-06 00:00:00,4,1545,81945.00,DR,000076,NULL,NULL,NULL
JV2201-000044       ,7,NULL,2021-04-05 00:00:00,2021-04-06 00:00:00,5,1544,81945.00,DR,000075,NULL,NULL,NULL
JV2201-000044       ,7,NULL,2021-04-05 00:00:00,2021-04-06 00:00:00,1,1840,1065285.00,CR,000267,NULL,NULL,NULL
JV2201-000044       ,7,NULL,2021-04-05 00:00:00,2021-04-06 00:00:00,2,1717,9105.00,CR,000232,NULL,NULL,NULL
BB2201-000130       ,6,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,0,1477,11300.00,CR,000008,NULL,NULL,BB2201-000130       
BB2201-000130       ,6,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,1,1663,11300.00,DR,000178,NULL,NULL,BB2201-000130       
BB2201-000131       ,6,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,0,1477,50932.00,CR,000008,NULL,NULL,BB2201-000131       
BB2201-000131       ,6,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,1,1889,50932.00,DR,000314,NULL,NULL,BB2201-000131       
BB2201-000138       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,0,1488,3634.00,DR,000019,NULL,NULL,BB2201-000138       
BB2201-000138       ,5,NULL,2021-04-07 00:00:00,2021-04-06 00:00:00,1,1920,3634.00,CR,000345,NULL,NULL,BB2201-000138       
BB2201-000141       ,5,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,0,1477,1600000.00,DR,000008,NULL,NULL,BB2201-000141       
BB2201-000141       ,5,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,1,1738,400000.00,CR,000253,NULL,NULL,BB2201-000141       
BB2201-000141       ,5,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,2,1738,400000.00,CR,000253,NULL,NULL,BB2201-000141       
BB2201-000141       ,5,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,3,1738,400000.00,CR,000253,NULL,NULL,BB2201-000141       
BB2201-000141       ,5,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,4,1738,400000.00,CR,000253,NULL,NULL,BB2201-000141       
CB2201-000047       ,3,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,1,1533,100.00,CR,000064,NULL,NULL,NULL
CB2201-000047       ,3,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,2,1698,10.00,CR,000213,NULL,NULL,NULL
CB2201-000047       ,3,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,3,1737,10.00,CR,000252,NULL,NULL,NULL
JV2201-000045       ,7,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,1,1517,200000.00,DR,000048,NULL,NULL,NULL
JV2201-000045       ,7,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,2,1650,675.00,CR,000165,NULL,NULL,NULL
JV2201-000045       ,7,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,3,1716,23547.00,CR,000231,NULL,NULL,NULL
JV2201-000045       ,7,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,4,1641,1792.00,CR,000156,NULL,NULL,NULL
JV2201-000045       ,7,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,5,1620,173986.00,CR,000135,NULL,NULL,NULL
BB2201-000143       ,6,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,0,1490,173986.00,CR,000021,NULL,NULL,BB2201-000143       
BB2201-000143       ,6,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,1,1620,173986.00,DR,000135,NULL,NULL,BB2201-000143       
BB2201-000145       ,6,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,0,1490,20000.00,CR,000021,NULL,NULL,BB2201-000145       
BB2201-000145       ,6,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,1,1716,20000.00,DR,000231,NULL,NULL,BB2201-000145       
CB2201-000050       ,3,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,0,1475,120.00,DR,000006,NULL,NULL,NULL
CB2201-000050       ,3,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,1,1533,100.00,CR,000064,NULL,NULL,NULL
CB2201-000050       ,3,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,2,1698,10.00,CR,000213,NULL,NULL,NULL
CB2201-000050       ,3,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,3,1737,10.00,CR,000252,NULL,NULL,NULL
CB2201-000051       ,3,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,0,1475,120.00,DR,000006,NULL,NULL,NULL
CB2201-000051       ,3,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,1,1533,100.00,CR,000064,NULL,NULL,NULL
CB2201-000051       ,3,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,2,1698,10.00,CR,000213,NULL,NULL,NULL
CB2201-000051       ,3,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,3,1737,10.00,CR,000252,NULL,NULL,NULL
BB2201-000188       ,6,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,0,1488,320633.00,CR,000019,NULL,NULL,BB2201-000188       
BB2201-000188       ,6,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,1,1601,300633.00,DR,000116,NULL,NULL,BB2201-000188       
BB2201-000188       ,6,NULL,2021-04-07 00:00:00,2021-04-07 00:00:00,2,1584,20000.00,DR,000099,NULL,NULL,BB2201-000188       
JV2201-000142       ,7,NULL,2021-04-09 00:00:00,2021-04-09 00:00:00,1,1512,600000.00,DR,000043,NULL,NULL,NULL
JV2201-000142       ,7,NULL,2021-04-09 00:00:00,2021-04-09 00:00:00,2,1650,675.00,CR,000165,NULL,NULL,NULL
JV2201-000142       ,7,NULL,2021-04-09 00:00:00,2021-04-09 00:00:00,3,1601,2000.00,CR,000116,NULL,NULL,NULL
JV2201-000142       ,7,NULL,2021-04-09 00:00:00,2021-04-09 00:00:00,4,1512,175000.00,CR,000043,NULL,NULL,NULL
JV2201-000142       ,7,NULL,2021-04-09 00:00:00,2021-04-09 00:00:00,5,1636,1758.00,CR,000151,NULL,NULL,NULL
JV2201-000142       ,7,NULL,2021-04-09 00:00:00,2021-04-09 00:00:00,6,1620,427075.00,CR,000135,NULL,NULL,NULL
BB2201-000329       ,6,NULL,2021-04-09 00:00:00,2021-04-09 00:00:00,0,1490,427075.00,CR,000021,NULL,NULL,BB2201-000329       
BB2201-000329       ,6,NULL,2021-04-09 00:00:00,2021-04-09 00:00:00,1,1620,427075.00,DR,000135,NULL,NULL,BB2201-000329       
BB2201-000332       ,5,NULL,2021-04-12 00:00:00,2021-04-09 00:00:00,0,1484,100000.00,DR,000015,NULL,NULL,BB2201-000332       
BB2201-000332       ,5,NULL,2021-04-12 00:00:00,2021-04-09 00:00:00,1,1512,100000.00,CR,000043,NULL,NULL,BB2201-000332       
BB2201-000333       ,5,NULL,2021-04-12 00:00:00,2021-04-09 00:00:00,0,1484,432000.00,DR,000015,NULL,NULL,BB2201-000333       
BB2201-000333       ,5,NULL,2021-04-12 00:00:00,2021-04-09 00:00:00,1,1512,347000.00,CR,000043,NULL,NULL,BB2201-000333       
BB2201-000333       ,5,NULL,2021-04-12 00:00:00,2021-04-09 00:00:00,2,1517,79000.00,CR,000048,NULL,NULL,BB2201-000333       
BB2201-000333       ,5,NULL,2021-04-12 00:00:00,2021-04-09 00:00:00,3,1511,5000.00,CR,000042,NULL,NULL,BB2201-000333       
BB2201-000333       ,5,NULL,2021-04-12 00:00:00,2021-04-09 00:00:00,4,1510,1000.00,CR,000041,NULL,NULL,BB2201-000333       
BB2201-000334       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,0,1856,1640.00,DR,000283,NULL,NULL,BB2201-000334       
BB2201-000334       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,1,1601,1640.00,CR,000116,NULL,NULL,BB2201-000334       
BB2201-000335       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,0,1856,1640.00,DR,000283,NULL,NULL,BB2201-000335       
BB2201-000335       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,1,1601,1640.00,CR,000116,NULL,NULL,BB2201-000335       
BB2201-000336       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,0,1856,1640.00,DR,000283,NULL,NULL,BB2201-000336       
BB2201-000336       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,1,1601,1640.00,CR,000116,NULL,NULL,BB2201-000336       
BB2201-000337       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,0,1856,1640.00,DR,000283,NULL,NULL,BB2201-000337       
BB2201-000337       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,1,1601,1640.00,CR,000116,NULL,NULL,BB2201-000337       
BB2201-000338       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,0,1856,3280.00,DR,000283,NULL,NULL,BB2201-000338       
BB2201-000338       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,1,1601,3280.00,CR,000116,NULL,NULL,BB2201-000338       
BB2201-000339       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,0,1856,1640.00,DR,000283,NULL,NULL,BB2201-000339       
BB2201-000339       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,1,1601,1640.00,CR,000116,NULL,NULL,BB2201-000339       
BB2201-000340       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,0,1856,1640.00,DR,000283,NULL,NULL,BB2201-000340       
BB2201-000340       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,1,1601,1640.00,CR,000116,NULL,NULL,BB2201-000340       
BB2201-000341       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,0,1856,1640.00,DR,000283,NULL,NULL,BB2201-000341       
BB2201-000341       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,1,1601,1640.00,CR,000116,NULL,NULL,BB2201-000341       
BB2201-000342       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,0,1856,1640.00,DR,000283,NULL,NULL,BB2201-000342       
BB2201-000342       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,1,1601,1640.00,CR,000116,NULL,NULL,BB2201-000342       
BB2201-000343       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,0,1856,1640.00,DR,000283,NULL,NULL,BB2201-000343       
BB2201-000343       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,1,1601,1640.00,CR,000116,NULL,NULL,BB2201-000343       
BB2201-000344       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,0,1856,1640.00,DR,000283,NULL,NULL,BB2201-000344       
BB2201-000344       ,5,NULL,2021-04-12 00:00:00,2021-04-12 00:00:00,1,1601,1640.00,CR,000116,NULL,NULL,BB2201-000344       
